Server,Date,Rank,Power,Tech,Equip,Prayer Bonus,1,2,3,4,5
merger01,2016-05-25,1,210935,36525,31894,10,Monk Sun,Saizo,Lilith,Ariel,Robin
merger01,2016-05-25,2,217733,42793,31537,10,Pulan,Blaine,Awakened Baggins,Ruby,Awakened Pandarus
merger01,2016-05-25,3,208573,35240,42782,3,Monk Sun,Saizo,Ariel,Zoe,Smoke
merger01,2016-05-25,4,194475,38564,27408,4,Gerber,Pulan,Ariel,Ruby,Theresa
merger01,2016-05-25,5,199173,42793,29906,2,Gerber,Blaine,Awakened Baggins,Sebastian,Theresa
merger01,2016-05-25,6,195620,40260,31146,3,Pulan,Monk Sun,Lilith,Ariel,Robin
merger01,2016-05-25,7,195395,41156,27305,3,Gerber,Awakened Baggins,Sebastian,Mira,Theresa
merger01,2016-05-25,8,187573,34943,26809,3,Pulan,Blaine,Ariel,Sebastian,Ruby
merger01,2016-05-25,9,206261,43802,32794,2,Gerber,Awakened Baggins,Ariel,Sebastian,Mira
merger01,2016-05-25,10,199032,35794,32782,3,Pulan,Awakened Baggins,Ariel,Ruby,Mira
merger01,2016-05-25,11,180991,33160,24239,1,Gerber,Blaine,Awakened Baggins,Alma,Sebastian
merger01,2016-05-25,12,216695,37472,39249,1,Seeley,Awakened Little Red,Awakened Lufia,Coco,Mira
merger01,2016-05-25,13,184533,33463,26506,5,Pulan,Awakened Baggins,Ariel,Sebastian,Mira
merger01,2016-05-25,14,199944,42105,26928,4,Gerber,Blaine,Awakened Baggins,Sebastian,Mira
merger01,2016-05-25,15,196960,44955,29393,0,Pulan,Awakened Baggins,Sebastian,Mira,Awakened Pandarus
merger01,2016-05-25,16,195956,39807,27759,0,Jacob,Awakened Baggins,Sebastian,Ruby,Mira
merger01,2016-05-25,17,195924,38073,28623,1,Pulan,Awakened Baggins,Sebastian,Ruby,Mira
merger01,2016-05-25,18,202457,36494,28679,7,Pulan,Blaine,Awakened Baggins,Alma,Mira
merger01,2016-05-25,19,186332,42500,24019,1,Gerber,Blaine,Awakened Baggins,Sebastian,Awakened Pandarus
merger01,2016-05-25,20,193472,36740,25944,3,Jacob,Blaine,Awakened Baggins,Sebastian,Awakened Pandarus
merger01,2016-05-25,21,191935,42400,24861,1,Gerber,Blaine,Awakened Baggins,Sebastian,Mira
merger01,2016-05-25,22,189153,32322,26694,3,Gerber,Blaine,Awakened Baggins,Sebastian,Mira
merger01,2016-05-25,23,191033,34686,29126,0,Jacob,Blaine,Awakened Baggins,Sebastian,Mira
merger01,2016-05-25,24,182634,37866,21951,4,Gerber,Blaine,Awakened Baggins,Sebastian,Mira
merger01,2016-05-25,25,194631,37882,29485,1,Pulan,Blaine,Awakened Baggins,Sebastian,Mira
merger01,2016-05-25,26,197421,42793,25300,4,Gerber,Blaine,Ariel,Mira,Awakened Pandarus
merger01,2016-05-25,27,187242,28041,28604,2,Jacob,Blaine,Awakened Baggins,Sebastian,Mira
merger01,2016-05-25,28,183634,40113,21013,1,Gerber,Blaine,Awakened Baggins,Alma,Sebastian
merger01,2016-05-25,29,190143,31295,27299,1,Jacob,Pulan,Blaine,Alma,Sebastian
merger01,2016-05-25,30,184291,32975,25099,2,Gerber,Blaine,Awakened Baggins,Alma,Sebastian
merger01,2016-05-25,31,187820,30062,27409,2,Gerber,Blaine,Awakened Baggins,Sebastian,Mira
merger01,2016-05-25,32,189876,32881,27251,2,Pulan,Blaine,Awakened Baggins,Sebastian,Mira
merger01,2016-05-25,33,179559,34192,22315,4,Gerber,Blaine,Awakened Baggins,Sebastian,Mira
merger01,2016-05-25,34,179150,36481,22273,1,Gerber,Blaine,Awakened Baggins,Sebastian,Mira
merger01,2016-05-25,35,200857,38230,30837,5,Jacob,Saizo,Lilith,Robin,Ariel
merger01,2016-05-25,36,187061,34112,28952,3,Pulan,Blaine,Awakened Baggins,Sebastian,Mira
merger01,2016-05-25,37,177682,36645,21020,3,Monk Sun,Saizo,Awakened Baggins,Ariel,Karna
merger01,2016-05-25,38,178580,30192,32733,1,Pulan,Awakened Little Red,Coco,Ruby,Mira
merger01,2016-05-25,39,178413,28970,24460,1,Pulan,Blaine,Awakened Baggins,Sebastian,Mira
merger01,2016-05-25,40,185729,35414,23258,5,Gerber,Blaine,Awakened Baggins,Alma,Sebastian
merger01,2016-05-25,41,181803,34407,24046,1,Gerber,Blaine,Awakened Baggins,Ruby,Mira
merger01,2016-05-25,42,196296,35183,32104,0,Pulan,Saizo,Sebastian,Ruby,Mira
merger01,2016-05-25,43,175635,28843,23648,2,Blaine,Awakened Baggins,Sebastian,Ruby,Mira
merger01,2016-05-25,44,203189,32480,48392,0,Gearz,Awakened Little Red,Awakened Lufia,Sue,Ruby
merger01,2016-05-25,45,171539,31223,22945,3,Blaine,Awakened Baggins,Sebastian,Ruby,Mira
merger01,2016-05-25,46,170447,24472,24019,0,Blaine,Awakened Baggins,Alma,Karna,Sebastian
merger01,2016-05-25,47,182183,38307,22207,2,Gerber,Blaine,Awakened Baggins,Sebastian,Mira
merger01,2016-05-25,48,170234,28076,23027,0,Gerber,Blaine,Awakened Baggins,Sebastian,Mira
merger01,2016-05-25,49,190787,30667,24778,2,Gerber,Jacob,Monk Sun,Saizo,Gridlock
merger01,2016-05-25,50,187971,35581,25234,1,Jacob,Blaine,Awakened Baggins,Sebastian,Awakened Pandarus
merger02,2016-05-25,1,242195,50549,41148,10,Chavez,Saizo,Robin,Ariel,Awakened Aurai
merger02,2016-05-25,2,221811,43260,41845,5,Charon,Saizo,Ariel,Coco,Smoke
merger02,2016-05-25,3,219541,40955,34361,10,Lorya,Saizo,Ariel,Robin,Smoke
merger02,2016-05-25,4,207943,45315,28917,1,Gerber,Pulan,Blaine,Awakened Baggins,Sebastian
merger02,2016-05-25,5,215823,33896,41244,2,Gerber,Gearz,Coco,Ruby,Mira
merger02,2016-05-25,6,202621,41765,27063,4,Gerber,Blaine,Karna,Sebastian,Mira
merger02,2016-05-25,7,196221,37113,30621,3,Pulan,Blaine,Ariel,Theresa,Awakened Aurai
merger02,2016-05-25,8,203205,44851,32860,5,Pulan,Blaine,Awakened Baggins,Sebastian,Theresa
merger02,2016-05-25,9,209803,48613,24432,1,Pulan,Blaine,Awakened Baggins,Alma,Theresa
merger02,2016-05-25,10,196570,49616,24847,2,Gerber,Blaine,Awakened Baggins,Ariel,Sebastian
merger02,2016-05-25,11,198134,36686,27311,6,Gerber,Saizo,Blaine,Ariel,Robin
merger02,2016-05-25,12,209082,46513,30502,3,Jacob,Blaine,Awakened Baggins,Alma,Sebastian
